app_name,category,reviewer_ratings,review_body
American Cancer Society FUNdraising,Lifestyle,2, I just downloaded it and now it won't even open. What's the point??
American Cancer Society FUNdraising,Lifestyle,5, Awesome
American Cancer Society FUNdraising,Lifestyle,1, Ugh! This is the last time I even try to use this app! It did last year! Extremely frustrating now that I have a team fundraiser coming up on 3/24. It's been of absolutely no help to me this year considering I have to keep uninstalling and now it won't even open! Please fix this for next year!
American Cancer Society FUNdraising,Lifestyle,3, It's difficult to download to Facebook...
American Cancer Society FUNdraising,Lifestyle,5, Immediately started receiving donations!
American Cancer Society FUNdraising,Lifestyle,2," It won't open anymore. I really liked it, it had everything needed"
American Cancer Society FUNdraising,Lifestyle,3, Definitely needs work. Some donations are not getting credited to my team. I know they've gone through because my donors have shared transaction receipts with me. Please fix the app.
American Cancer Society FUNdraising,Lifestyle,2," I can't screenshot any checks using my app. It will act like it is taking the picture of the check, but then goes back to the first screen and clears everything I have already entered."
American Cancer Society FUNdraising,Lifestyle,2," I don't know what happened but this app isn't working.  It was up to date on the next year's registration but now on my iPad it is back on last year's fundraising and on my phone it isn't even going into the app, keeps kicking it back out and I have uninstalled and reinstalled it a few times.  Pleas...Full ReviewI don't know what happened but this app isn't working.  It was up to date on the next year's registration but now on my iPad it is back on last year's fundraising and on my phone it isn't even going into the app, keeps kicking it back out and I have uninstalled and reinstalled it a few times.  Please fix this issue and get it back to current fundraising and not closed fundraising."
American Cancer Society FUNdraising,Lifestyle,1," This app used to work very well for me, but now it won't even open. I have uninstalled and reinstalled it several times but it still won't open."
American Cancer Society FUNdraising,Lifestyle,1, Crashes when I try to open it
American Cancer Society FUNdraising,Lifestyle,2," Worked before the update, now it won't open."
American Cancer Society FUNdraising,Lifestyle,2, The app was wonderful until the update and now it won't open
American Cancer Society FUNdraising,Lifestyle,2," It's a *great* app when it's working...but crashes pretty much all the time. Can't get it to update or even load the last couple of days, and keeps giving us a weird team company affiliation even though I keep clicking ""none."""
American Cancer Society FUNdraising,Lifestyle,4," I can't get the app to update/sync. It doesn't keep up with what's going on. I had several donations made weeks ago that never showed up on the app. I logged into this year's event and that hasn't updated either.  I can't find anywhere in the app to sync or update, nor info in the FAQ or help sectio...Full ReviewI can't get the app to update/sync. It doesn't keep up with what's going on. I had several donations made weeks ago that never showed up on the app. I logged into this year's event and that hasn't updated either.  I can't find anywhere in the app to sync or update, nor info in the FAQ or help section. It is a pretty good all, I look forward to using it more, but hope I can get advisement on how to fix this issue."
American Cancer Society FUNdraising,Lifestyle,3, This app needs some major updating!! It takes forever to load anything you want to do and does not show what you need to show. I can't see my team nor accept cash donations.
American Cancer Society FUNdraising,Lifestyle,5, It's very convenient for people to make donations that you are not able to see daily
American Cancer Society FUNdraising,Lifestyle,1, Bekaar
American Cancer Society FUNdraising,Lifestyle,5, Very informational
American Cancer Society FUNdraising,Lifestyle,4, Great AP
American Cancer Society FUNdraising,Lifestyle,5, Everything you need to know is in these apps. Download and have fun!!!!
American Cancer Society FUNdraising,Lifestyle,1, My donations did not show up on my Relay for Life account. I shared from app to Facebook. The donations went into American Cancer Society account. Called 2 differant 800 phone numbers and both said funds cannot be transferred back to my Relay account. This app is awful and I am deleting it. I will o...Full ReviewMy donations did not show up on my Relay for Life account. I shared from app to Facebook. The donations went into American Cancer Society account. Called 2 differant 800 phone numbers and both said funds cannot be transferred back to my Relay account. This app is awful and I am deleting it. I will only now use the Relay for Life webpage to fundraise.
American Cancer Society FUNdraising,Lifestyle,4," It seems easy, I just wish the auto payment amount options started at $25 instead of $35"
American Cancer Society FUNdraising,Lifestyle,2, This needs to be more user friendly like the dashboard online.
American Cancer Society FUNdraising,Lifestyle,5, Works much better than it did last year! Love it!
American Cancer Society FUNdraising,Lifestyle,5, Works great and fast
American Cancer Society FUNdraising,Lifestyle,2, Very frustrating to use!!  Have to log out and go back to the old  Making Strides app just to be able to see who's donating. Can't click on anyone or anything.  Also not getting notifications when people are donating. Hoped this year it would actually work.
American Cancer Society FUNdraising,Lifestyle,5," After having problems getting logged on with my new phone, I called ACS and they got to work fixing the problem.  Received a email stating that the app had been fixed and was now compatible with my android 7.0 phone."
American Cancer Society FUNdraising,Lifestyle,1," I am now walking away from my third donation because I can't get this app to work.  I have stopped promoting it as a fundraising tool to my team members because it is SO unreliable.  IF I can get it to take a picture, and IF I can get it to acknowledge the checks are on US funds, I inevitability get...Full ReviewI am now walking away from my third donation because I can't get this app to work.  I have stopped promoting it as a fundraising tool to my team members because it is SO unreliable.  IF I can get it to take a picture, and IF I can get it to acknowledge the checks are on US funds, I inevitability get the donation rejected email.  FRUSTRATED!!  Emailed ACS requesting assistance and got no response."
American Cancer Society FUNdraising,Lifestyle,2," I have money to put on a different team member, as it is money raised by that person. I can't even access my team's roster to apply the money to the proper team member with this app, and I am co-captain of the team."
American Cancer Society FUNdraising,Lifestyle,1," I was very happy with the app earlier this season but now it won't let me log in. I've uninstalled and reinstalled it several times and all I get is the spinning wheel. As an event lead, I've promoted this app often.  I hate to tell them to disregard as it doesn't work.  I was very excited about thi...Full ReviewI was very happy with the app earlier this season but now it won't let me log in. I've uninstalled and reinstalled it several times and all I get is the spinning wheel. As an event lead, I've promoted this app often.  I hate to tell them to disregard as it doesn't work.  I was very excited about this app and am now highly disappointed. Its over a year old so these types of bugs should be non-existent. I hope the issues are resolved soon."
American Cancer Society FUNdraising,Lifestyle,4,Much better It's getting much better. Wish we could put our in kind donations cause those help support our Relay too
American Cancer Society FUNdraising,Lifestyle,1, I've been trying to get this app to open for an hour. It just keeps spinning. I've lost so many donations because of it.
